,Comment,Forum,Segments,NoStopPunct
7223,好消息 唔使割包皮！,1,好消息   唔使 割包皮 ！,好消息 割包皮
7224,係疫區一出再中,1,係 疫區 一出 再 中,疫區 一出 中
7225,藍屍咪撚帶口罩,1,藍屍 咪 撚 帶 口罩,藍屍 撚 帶 口罩
7226,究竟有咩人信佢係醫好肺炎而唔係其他病醫好扮肺炎,1,究竟 有 咩 人 信 佢 係 醫好 肺炎 而 唔係 其他 病 醫好 扮 肺炎,究竟 人 信 醫好 肺炎 病 醫好 扮 肺炎
7227,"死亡率唔係100
梗係會有d冇事",1,"死亡率 唔係 100 
 梗係 會 有 d 冇事",死亡率 100 d 冇事
7228,D醫護心諗多得佢唔少,1,D 醫護 心諗 多 得 佢 唔 少,D 醫護 心諗 少
7229,其他死曬？,1,其他 死 曬 ？,死 曬
7230,"以支那性格如果真係work仲公開treatment 條drug formula 出黎認屎認屁咩
唔敢講點醫呢
定個patient根本冇好過 甚至可能個patient都係假",1,"以 支那 性格 如果 真係 work 仲 公開 tre at ment   條 drug   formula   出黎 認屎 認屁 咩 
 唔 敢 講點 醫呢 
 定個 p at ient 根本 冇 好過   甚至 可能 個 p at ient 都 係 假",以 支那 性格 work 仲 公開 tre at ment 條 drug formula 出黎 認屎 認屁 敢 講點 醫呢 定個 p at ient 根本 好過 甚至 p at ient 假
7231,冇出講過佢康復,1,冇 出講 過 佢 康復,出講 康復
7232,繼續醫好繼續感染,1,繼續 醫好 繼續 感染,繼續 醫好 繼續 感染
7233,出院 =/= 醫好,1,出院   = / =   醫好,出院 醫好
7234,唔係老納開post 既,1,唔係 老納開 post   既,老納開 post
7235,一出就死lo,1,一出 就 死 lo,一出 死 lo
7236,因為冇錢俾,1,因為 冇錢 俾,冇錢 俾
7237,冇話醫返好,1,冇 話 醫返 好,醫返
7238,"正
抗疫有希望了",1,"正 
 抗疫 有 希望 了",正 抗疫 希望 了
7239,入嚟就係為咗睇呢句comment,1,入 嚟 就係 為咗 睇 呢 句 comment,入 嚟 就係 為咗 句 comment
7240,"醫生: 恭喜，你無事啦。
病人: 吓，我重發緊微燒喎。",1,"醫生 :   恭喜 ， 你 無事 啦 。 
 病人 :   吓 ， 我 重發 緊微燒 喎 。",醫生 恭喜 無事 啦 病人 吓 重發 緊微燒
7241,嘩呢個cm咁多正皮連登仔真係弱智,1,嘩 呢個 cm 咁 多 正皮 連登仔 真係 弱智,嘩 cm 正皮 連登仔 弱智
7242,出院影相但係醫護full gear,1,出院 影相 但係 醫護 full   gear,出院 影相 醫護 full gear
7243,"醫護： 欸！你沒救了！你就跟我們拍最後一張照吧！
女病人： 好吧！我愛黨的。",1,"醫護 ：   欸 ！ 你 沒救 了 ！ 你 就 跟 我們 拍 最後 一張 照 吧 ！ 
 女病人 ：   好 吧 ！ 我 愛黨 的 。",醫護 欸 沒救 了 跟 拍 最後 一張 照 吧 女病人 吧 愛黨
7244,回光返照,1,回光返照,回光返照
7245,【好消息！ 武漢一新冠肺炎感染者出院殯】,1,【 好消息 ！   武漢 一新 冠 肺炎 感染者 出院 殯 】,好消息 武漢 一新 冠 肺炎 感染者 出院 殯
7246,佢自己都唔肯定仲有冇菌就話人好返哂,1,佢 自己 都 唔 肯定 仲 有冇 菌 就 話 人 好 返 哂,肯定 仲 菌 人 哂
7247,出院入土爲安,1,出院 入土爲安,出院 入土爲安
7248,死前最後合照,1,死前 最後 合照,死前 最後 合照
7249,人民日報有facebook?,1,人民日報 有 face book ?,人民日報 face book
7250,"康復率1/800幾?
好嚴重喎",1,"康復 率 1 / 800 幾 ? 
 好 嚴重 喎",康復 率 1 800 嚴重
7251,"嘩！感謝党
感謝習大大偉大統領",1,"嘩 ！ 感謝 党 
 感謝 習 大大 偉大 統領",嘩 感謝 党 感謝 習 大大 偉大 統領
7252,好心d鬼佬有d防範意識啦果頭笑完中国 呢頭自己就係到興奮 小小sense都冇,1,好心 d 鬼佬 有 d 防範 意識 啦 果頭 笑 完 中国   呢頭 自己 就係 到 興奮   小小 sense 都 冇,好心 d 鬼佬 d 防範 意識 啦 果頭 笑 完 中国 呢頭 就係 興奮 小小 sense
7253,美帝係米沒落,1,美帝 係 米 沒落,美帝 米 沒落
7254,以前以為D鬼好為人著想，會包容人地意見，經過呢役之後，揭穿晒佢地真面目,1,以前 以為 D 鬼 好 為 人 著 想 ， 會 包容 人地 意見 ， 經過 呢 役 之後 ， 揭穿 晒 佢 地 真面目,以前 以為 D 鬼 為 人 著 包容 人地 意見 經過 役 揭穿 晒 地 真面目
7255,"佢係有一種概率謬誤
以為低概率事件（中武漢肺炎）發生係自己身上，代表其他低概率事件（中獎）都會發生係自己身上。",1,"佢 係 有 一種 概率 謬誤 
 以為 低 概率 事件 （ 中 武漢 肺炎 ） 發生 係 自己 身上 ， 代表 其他 低 概率 事件 （ 中獎 ） 都 會 發生 係 自己 身上 。",一種 概率 謬誤 以為 低 概率 事件 中 武漢 肺炎 發生 身上 代表 低 概率 事件 中獎 發生 身上
7256,但其實中唔中武漢 佢係可以控制個機率,1,但 其實 中 唔 中 武漢   佢 係 可以 控制 個 機率,但 其實 中 中 武漢 控制 機率
7257,"以前喺英國讀書嗰陣 已經見識過佢哋啲嘔心行為
好似舔一下口水再揭書揭文件 (呢個我見得最多)
著住對去街鞋入屋唔除鞋
幾日先沖一次涼
仲有，有一次我同父母去Bath住旅館，我爸見到有個鬼佬係個洗手盤到洗腳",1,"以前 喺 英國 讀書 嗰陣   已經 見識 過 佢哋 啲 嘔心 行為 
 好似 舔 一下 口水 再 揭書 揭 文件   ( 呢個 我 見得 最多 ) 
 著住 對 去街 鞋 入屋 唔 除 鞋 
 幾日 先 沖 一次 涼 
 仲有 ， 有 一次 我同 父母 去 B at h 住 旅館 ， 我爸 見到 有個 鬼佬 係 個 洗手 盤到 洗腳",以前 英國 讀書 嗰陣 見識 嘔心 行為 好似 舔 一下 口水 揭書 揭 文件 見得 最多 著住 對 去街 鞋 入屋 除 鞋 幾日 先 沖 一次 涼 仲有 一次 我同 父母 B at h 住 旅館 我爸 見到 有個 鬼佬 洗手 盤到 洗腳
7258,你講個D 係大部份鬼佬會做既野 無咩特別,1,你 講個 D   係 大部份 鬼佬 會 做 既野   無 咩 特別,講個 D 大部份 鬼佬 做 既野 特別
7259,所以點解今次歐美國家肺炎會傳得咁犀利，仲衰過韓國同日本,1,所以 點解 今次 歐美國家 肺炎 會 傳得 咁 犀利 ， 仲衰過 韓國 同 日本,今次 歐美國家 肺炎 傳得 犀利 仲衰過 韓國 日本
7260,有很多更嚴重既問題，例如智障,1,有 很多 更 嚴重 既 問題 ， 例如 智障,很多 更 嚴重 問題 例如 智障
7261,"點會？
儒家文化先會為人著想 collectivism
外國自由思想individualism 先係重心",1,"點會 ？ 
 儒家文化 先會 為 人 著 想   collectiv is m 
 外國 自由思想 in dividual is m   先 係 重心",點會 儒家文化 先會 為 人 著 collectiv is m 外國 自由思想 in dividual is m 先 重心
7262,米係，又錫晒面咁，不過佢地呢種文化都可以理解既,1,米 係 ， 又 錫 晒面 咁 ， 不過 佢 地 呢 種 文化 都 可以 理解 既,米 錫 晒面 地 種 文化 理解
7263,但同時儒家思想都有教導我地各家自掃門前雪所以某程度上又會好似中國人咁冷淡,1,但 同時 儒家思想 都 有 教導 我 地 各家 自掃門前 雪 所以 某程度上 又 會 好似 中國 人 咁 冷淡,但 同時 儒家思想 教導 地 各家 自掃門前 雪 某程度上 好似 中國 人 冷淡
7264,想一齊Brainstorm多D諗法姐，唔一定話邊到邊到好，香港，上海住到人咩仲，但我自己都估唔到上海人咁有錢,1,想 一齊 Bra in s to rm 多 D 諗法 姐 ， 唔 一定 話邊 到 邊到 好 ， 香港 ， 上海 住 到 人 咩 仲 ， 但 我 自己 都 估 唔 到 上海 人 咁 有錢,一齊 Bra in s to rm D 諗法 姐 話邊 邊到 香港 上海 住 人 仲 但 估 上海 人 有錢
7265,口水膠袋,1,口水 膠袋,口水 膠袋
7266,大約估一估呢班受訪者911發生時幾多歲？你就明咩事，佢地人生面對最大危機係出咗新iPhone換唔換好,1,大約 估一估 呢 班 受訪者 911 發生 時 幾 多歲 ？ 你 就 明 咩 事 ， 佢 地 人生 面對 最大 危機 係 出 咗 新 iP hon e 換唔 換好,大約 估一估 班 受訪者 911 發生 時 多歲 明 事 地 人生 面對 最大 危機 出 新 iP hon e 換唔 換好
7267,仲有啲鬼佬鬼妹用手食野 啜隻手指,1,仲 有啲 鬼佬 鬼妹 用手 食野   啜 隻 手指,仲 鬼佬 鬼妹 用手 食野 啜 隻 手指
7268,死咁D蠢人 世界會更加好,1,死 咁 D 蠢人   世界 會 更加 好,死 D 蠢人 世界 更加
7269,"咁多弱智
今次真係大撚獲",1,"咁 多 弱智 
 今次 真係 大 撚 獲",弱智 今次 大 撚 獲
7270,儒家點教人各家自掃門前雪？,1,儒家 點教人 各家 自掃門前 雪 ？,儒家 點教人 各家 自掃門前 雪
7271,其實歐美係不俱小節，唔可以太怪佢地,1,其實 歐美 係 不 俱 小節 ， 唔 可以 太 怪 佢 地,其實 歐美 俱 小節 怪 地
7272,想屌撚醒最底條女,1,想 屌 撚 醒 最底 條女,屌 撚 醒 最底 條女
7273,坐等夏天到,1,坐等 夏天 到,坐等 夏天
7274,"後生唔識，廢老就識但唔鬼理人
總結：gg",1,"後生 唔 識 ， 廢老 就識 但 唔 鬼理 人 
 總結 ： gg",後生 識 廢老 就識 但 鬼理 人 總結 gg
7275,扮唒嘢，污糟就污糟啦,1,扮 唒 嘢 ， 污糟 就 污糟 啦,扮 唒 污糟 污糟 啦
7276,法家黎喎,1,法家 黎 喎,法家 黎
7277,而家全世界邊度有儒家文化,1,而家 全世界 邊度 有 儒家文化,全世界 邊度 儒家文化
7278,武漢肺炎！！！！,1,武漢 肺炎 ！ ！ ！ ！,武漢 肺炎
7279,你係咪掉轉左本書黎睇,1,你 係咪 掉轉 左 本書 黎睇,係咪 掉轉 左 本書 黎睇
7280,兩個字 迷信,1,兩個 字   迷信,兩個 字 迷信
7281,"四個字 親疏有別
搞圈子搞階級就係儒家文化",1,"四個 字   親疏 有別 
 搞 圈子 搞 階級 就係 儒家文化",四個 字 親疏 有別 搞 圈子 搞 階級 就係 儒家文化
7282,我都係 細個嘅嗰陣以為鬼佬就好為人著想 好大愛 好顧人地感受,1,我 都 係   細個 嘅 嗰陣 以為 鬼佬 就 好 為 人 著 想   好大愛   好顧 人地 感受,細個 嗰陣 以為 鬼佬 為 人 著 好大愛 好顧 人地 感受
7283,"全世界都有階級之分 有圈子
貧同富已經係",1,"全世界 都 有 階級 之分   有 圈子 
 貧同富 已經 係",全世界 階級 之分 圈子 貧同富
7284,我唔記得走飲管都係不俱小節，但比班白鬼左膠屌到仆街喎,1,我 唔記得 走 飲管 都 係 不 俱 小節 ， 但 比班白 鬼 左膠 屌 到 仆 街 喎,唔記得 走 飲管 俱 小節 但 比班白 鬼 左膠 屌 仆 街
7285,破四舊 立四新,1,破 四舊   立四新,破 四舊 立四新
7286,"比起黃種人 鬼佬算比較大愛 無咁計較得失（可能宗教問題 基督教）
但同樣無咁計較 防瘟好差",1,"比起 黃種人   鬼佬 算比 較大 愛   無 咁 計較 得失 （ 可能 宗教 問題   基督教 ） 
 但 同樣 無 咁 計較   防瘟好 差",比起 黃種人 鬼佬 算比 較大 愛 計較 得失 宗教 問題 基督教 但 同樣 計較 防瘟好 差
7287,白種人優越感,1,白種人 優越感,白種人 優越感
7288,其實以死亡率隻野真係算廢,1,其實 以 死亡率 隻 野 真係 算 廢,其實 以 死亡率 隻 算 廢
7289,"呢啲人快撚啲死啦, 大愛到咁撚樣",1,"呢啲 人快 撚 啲 死 啦 ,   大愛到 咁 撚 樣",人快 撚 死 啦 大愛到 撚 樣
7290,清廢老病毒,1,清廢 老 病毒,清廢 老 病毒
7291,"yes
100% 鬼佬都會咁
仲有好鐘意坐喺綠色嘅地下
(無論幾細達地方, 有兩pat草就會逼埋坐)
同埋圍住住喺啲石級, 樓梯
呢啲壞習慣根本開正virus爆發果範",1,"yes 
 100%   鬼佬 都 會 咁 
 仲有 好 鐘意 坐 喺 綠色 嘅 地下 
 ( 無論 幾細達 地方 ,   有 兩 p at 草 就 會 逼 埋 坐 ) 
 同埋 圍住 住 喺 啲 石級 ,   樓梯 
 呢啲 壞習慣 根本 開正 virus 爆發 果範",yes 100% 鬼佬 仲有 鐘意 坐 綠色 地下 無論 幾細達 地方 兩 p at 草 逼 埋 坐 圍住 住 石級 樓梯 壞習慣 根本 開正 virus 爆發 果範
7292,美國鬼不嬲自大又自我,1,美國 鬼 不嬲 自大 又 自我,美國 鬼 不嬲 自大 自我
7293,同傻hi,1,同 傻 hi,傻 hi
7294,"奶廁板
岩啦清呢2樣野，浪費地球資源",1,"奶 廁板 
 岩 啦 清 呢 2 樣野 ， 浪費 地球 資源",奶 廁板 岩 啦 清 2 樣野 浪費 地球 資源
7295,"物競天擇
呢d on9
係要死
對地球好",1,"物競天擇 
 呢 d   on9 
 係 要死 
 對 地球 好",物競天擇 d on9 要死 對 地球
7296,求其crop幅圖加d中文字，又無出處，你話乜都得啦,1,求其 crop 幅 圖加 d 中文 字 ， 又 無 出處 ， 你 話 乜 都 得 啦,求其 crop 幅 圖加 d 中文 字 出處 啦
7297,支那人咁做你即刻大聲屌啦 收皮啦,1,支那人 咁 做 你 即刻 大聲 屌 啦   收皮 啦,支那人 做 即刻 大聲 屌 啦 收皮 啦
7298,日本文化,1,日本 文化,日本 文化
7299,"幾張濕尻圖
帶晒風向",1,"幾張 濕尻圖 
 帶 晒 風向",幾張 濕尻圖 帶 晒 風向
7300,之後有事就話trump trump做得唔好,1,之後 有事 就 話 trump   trump 做 得 唔好,有事 trump trump 做 唔好
7301,日本 韓國 個種階級尊卑觀念 仲儒家過發源地中國,1,日本   韓國   個種 階級 尊卑 觀念   仲 儒家 過 發源地 中國,日本 韓國 個種 階級 尊卑 觀念 仲 儒家 發源地 中國
7302,沙士幾多,1,沙士 幾多,沙士
7303,bbc news既街訪,1,bbc   news 既 街訪,bbc news 街訪
7304,"鬼佬都要睇咩國家
澳洲嗰啲好野蠻
歐洲人睇東歐定西歐
美國睇咩州",1,"鬼佬 都 要 睇 咩 國家 
 澳洲 嗰啲 好 野蠻 
 歐洲人 睇 東歐 定 西歐 
 美國 睇 咩 州",鬼佬 國家 澳洲 野蠻 歐洲人 東歐 定 西歐 美國 州
7305,之前係咪有條女整個奶廁板challenge,1,之前 係咪 有條 女 整個 奶 廁板 challenge,之前 係咪 有條 女 整個 奶 廁板 challenge
7306,今之肺炎 東歐人屌打西歐啵,1,今 之 肺炎   東歐 人 屌 打 西歐 啵,今 之 肺炎 東歐 人 屌 打 西歐 啵
7307,你有睇開d美國街頭訪問片，你就知班中三就冇讀書既古惑仔識野都多過佢地,1,你 有 睇 開 d 美國 街頭 訪問 片 ， 你 就 知班 中三 就 冇 讀書 既 古惑仔 識野 都 多 過 佢 地,開 d 美國 街頭 訪問 片 知班 中三 讀書 古惑仔 識野 地
7308,p牌五毛Assemble？,1,p 牌 五毛 As sem ble ？,p 牌 五毛 As sem ble
7309,班大中華膠又抹黑外國人,1,班 大中華 膠 又 抹黑 外國人,班 大中華 膠 抹黑 外國人
7310,"德國嗰啲都唔差架
係西班牙、意大利嗰啲拖人後腳",1,"德國 嗰啲 都 唔 差架 
 係 西班牙 、 意大利 嗰啲 拖人 後腳",德國 差架 西班牙 意大利 拖人 後腳
7311,東亞大把,1,東亞 大把,東亞 大把
7312,有案底令人生更精彩.JPG,1,有 案底 令人 生 更 精彩 . JPG,案底 令人 生 更 精彩 JPG
7313,無來源 唔推,1,無 來源   唔 推,來源 推
7314,喺意粉國唔廢,1,喺 意 粉 國 唔 廢,意 粉 國 廢
7315,垃圾POST,1,垃圾 POST,垃圾 POST
7316,走啊樓主,1,走 啊 樓主,走 樓主
7317,突然覺得真香港人差唔多係最高質嘅人種,1,突然 覺得 真 香港人 差唔多 係 最高 質 嘅 人種,突然 真 香港人 差唔多 最高 質 人種
7318,冇比中共逼害過會咁諗有乜咁出奇，大把移民華人都成日真心吹奏支那,1,冇 比 中共 逼 害過 會 咁 諗 有 乜 咁 出奇 ， 大把 移民 華人 都 成日 真心 吹奏 支那,比 中共 逼 害過 出奇 大把 移民 華人 真心 吹奏 支那
7319,"其實的覺得今次鬼佬係抵撚左
香港班死鬼佬而家都唔戴罩
害撚埋其他人",1,"其實 的 覺得 今次 鬼佬 係 抵 撚 左 
 香港 班死 鬼佬 而家 都 唔 戴罩 
 害 撚 埋 其他人",其實 今次 鬼佬 抵 撚 左 香港 班死 鬼佬 戴罩 害 撚 埋 其他人
7320,我問緊真係用緊嚟治國,1,我 問緊 真係 用緊 嚟 治國,問緊 用緊 嚟 治國
7321,NBA舔口水摸鞋底,1,NBA 舔 口水 摸 鞋底,NBA 舔 口水 摸 鞋底
7322,南歐,1,南歐,南歐
7323,"老老實實
要中都望自己趁地方醫療系統未崩潰前中
如果唔係就好似意大利咁款",1,"老老實實 
 要 中都 望 自己 趁 地方 醫療系統 未 崩潰 前中 
 如果 唔係 就 好似 意大利 咁 款",老老實實 中都 望 趁 地方 醫療系統 崩潰 前中 好似 意大利 款
7324,已經唔會同情直頭失望,1,已經 唔會 同情 直頭 失望,唔會 同情 直頭 失望
7325,呢個真,1,呢個 真,真
7326,美國贏係贏響個制度上面。但人民始終都係好撚豬,1,美國 贏 係 贏響 個 制度 上面 。 但 人民 始終 都 係 好 撚 豬,美國 贏 贏響 制度 上面 但 人民 始終 撚 豬
7327,澳洲生活好寫意田原生活 悉尼果到又有返D華人 有返D親切感,1,澳洲 生活 好 寫意 田原 生活   悉尼 果到 又 有 返 D 華人   有返 D 親切感,澳洲 生活 寫意 田原 生活 悉尼 果到 D 華人 有返 D 親切感
7328,你估美國冇戇尻冇左膠？,1,你估 美國 冇 戇 尻 冇 左膠 ？,你估 美國 戇 尻 左膠
7329,仲撚咗最好死撚埋唔使還loan,1,仲 撚 咗 最好 死 撚 埋 唔使 還 loan,仲 撚 最好 死 撚 埋 還 loan
7330,由此可見呢場瘟疫係體現優生學嘅最佳例子,1,由此可見 呢場 瘟疫 係 體現 優生學 嘅 最佳 例子,由此可見 呢場 瘟疫 體現 優生學 最佳 例子
7331,白皮豬,1,白皮 豬,白皮 豬
7332,"大撚把
如果唔係邊有奧巴馬養肥支那呢個大魔頭",1,"大 撚 把 
 如果 唔係 邊有 奧巴馬 養肥 支那 呢個 大 魔頭",大 撚 把 邊有 奧巴馬 養肥 支那 大 魔頭
7333,"果度Miami，仲多白癡
成班uneducated retard",1,"果度 Miami ， 仲多 白癡 
 成班 uneduc at ed   retard",果度 Miami 仲多 白癡 成班 uneduc at ed retard
7334,"東歐普遍受過共產黨統治，知信唔撚過
係捷克一時衰on9買支那test kid",1,"東歐 普遍 受過 共產黨 統治 ， 知信 唔 撚 過 
 係 捷克 一時 衰 on9 買 支那 test   kid",東歐 普遍 受過 共產黨 統治 知信 撚 捷克 一時 衰 on9 買 支那 test kid
